sentence,code
where is the red block," ( tap ( find ( ""red block"" )  )  ) "
please drag the green block to the blue block," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
please move the blue block to the red block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""red block"" )  )  ) "
please pick up the blue block and put it on the green block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""green block"" )  )  ) "
touch the second largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
please drag the red block to the blue block," ( drag_to ( find ( ""red block"" )  ,   find ( ""blue block"" )  )  ) "
"robot, pick up the red block and place it on the blue block"," ( drop_on ( find ( ""red block"" )  ,  find ( ""blue block"" )  )  ) "
please drag the blue block to the green block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""green block"" )  )  ) "
please move the green block to the blue block," ( drag_to ( find ( ""green block"" )  ,   find ( ""blue block"" )  )  ) "
please where is the smallest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
take the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
put the red block on the green block," ( drop_on ( find ( ""red block"" )  ,  find ( ""green block"" )  )  ) "
please lift up the green block," ( pick_up ( find ( ""green block"" )  )  ) "
"robot, relocate the red block to the blue block"," ( drag_to ( find ( ""red block"" )  ,   find ( ""blue block"" )  )  ) "
order by size," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, touch the blue block"," ( tap ( find ( ""blue block"" )  )  ) "
pick up the green block," ( pick_up ( find ( ""green block"" )  )  ) "
drag the red block to the green block," ( drag_to ( find ( ""red block"" )  ,   find ( ""green block"" )  )  ) "
please put the green block on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
please relocate the blue block to the red block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""red block"" )  )  ) "
relocate the green block to the red block," ( drag_to ( find ( ""green block"" )  ,   find ( ""red block"" )  )  ) "
please touch the blue block," ( tap ( find ( ""blue block"" )  )  ) "
please point out the largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -1 )  )  ) "
"robot, touch the red block"," ( tap ( find ( ""red block"" )  )  ) "
"robot, where is the smallest block"," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  0 )  )  ) "
"robot, fetch the blue block"," ( pick_up ( find ( ""blue block"" )  )  ) "
please pick up the green block and put it on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
order the blocks from the biggest to the smallest," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
collect the blue block," ( pick_up ( find ( ""blue block"" )  )  ) "
"robot, put the blue block on the red block"," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
move the green block to the red block," ( drag_to ( find ( ""green block"" )  ,   find ( ""red block"" )  )  ) "
please place the green block on the red block," ( drop_on ( find ( ""green block"" )  ,  find ( ""red block"" )  )  ) "
relocate the blue block to the green block," ( drag_to ( find ( ""blue block"" )  ,   find ( ""green block"" )  )  ) "
"robot, place the blue block on the red block"," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
"robot, arrange the blocks by size"," ( stack ( sort ( findAll (  )  ,  ""size"" )  )  ) "
"robot, where is the blue block"," ( tap ( find ( ""blue block"" )  )  ) "
point out the second largest block," ( tap ( get ( sort ( findAll (  )  ,  ""size"" )  ,  -2 )  )  ) "
please put the blue block on the red block," ( drop_on ( find ( ""blue block"" )  ,  find ( ""red block"" )  )  ) "
